,0
0,187
1,188
2,189
3,190
4,191
5,192
6,193
7,194
8,195
9,196
10,197
11,198
12,199
13,200
14,201
15,202
16,203
17,204
18,205
19,206
20,207
21,208
22,209
23,210
24,211
25,212
26,213
27,214
28,215
29,216
30,217
31,218
32,219
33,220
34,221
35,222
36,223
37,224
38,225
39,226
40,227
41,228
42,229
43,230
44,231
45,232
46,233
47,234
48,235
49,236
50,237
51,238
52,239
53,240
54,241
55,242
56,243
57,244
58,245
59,246
60,247
61,248
62,249
63,250
64,251
65,252
66,253
67,254
68,255
69,256
70,257
71,258
72,259
73,260
74,261
75,262
76,263
77,264
78,265
79,953
80,954
81,955
82,956
83,957
84,958
85,959
86,960
87,961
88,962
89,963
90,964
91,965
92,966
93,967
94,968
95,969
96,970
97,971
98,972
99,973
100,974
101,975
102,976
103,977
104,978
105,979
106,980
107,981
108,982
109,983
110,984
111,985
112,986
113,987
114,988
115,989
116,990
117,991
118,992
119,993
120,994
121,995
122,996
123,997
124,998
125,999
126,1000
127,1001
128,1002
129,1003
130,1004
131,1005
132,1006
133,1007
134,1008
135,1009
136,1010
137,1011
138,1012
139,1013
140,1014
141,1015
142,1016
143,1017
144,1018
145,1019
146,1020
147,1021
148,1022
149,1023
150,1024
151,1025
152,1026
153,1027
154,1028
155,1029
156,1030
157,1031
158,1032
159,1033
160,1034
161,1035
162,1036
163,1037
164,1038
165,1039
166,1040
167,1041
168,1042
169,1043
170,1044
171,1045
172,1046
173,1047
174,1048
175,1049
176,1050
177,1051
178,1052
179,5250
180,5251
181,5252
182,5253
183,5254
184,5255
185,5256
186,5257
187,5258
188,5259
189,5260
190,5261
191,5262
192,5263
193,5264
194,5265
195,5266
196,5267
197,5268
198,5269
199,5270
200,5271
201,5272
202,5273
203,5274
204,5275
205,5276
206,5277
207,5278
208,5279
209,5280
210,5281
211,5282
212,5283
213,5284
214,5285
215,5286
216,5287
217,5288
218,5289
219,5290
220,5291
221,5292
222,5293
223,5294
224,5295
225,5296
226,5297
227,5298
228,5299
229,5300
230,5301
231,5302
232,5303
233,5304
234,5305
235,5306
236,5307
237,5308
238,5309
239,5310
240,5311
241,5312
242,5313
243,5314
244,5315
245,5316
246,5317
247,5318
248,5319
249,5320
250,5321
251,5322
252,5323
253,5324
254,5325
255,5326
256,5327
257,5328
258,5329
259,5330
260,5331
261,5332
262,5333
263,5334
264,5335
265,5336
266,5337
267,5338
268,5339
269,5340
270,5341
271,5342
272,5343
273,5344
274,5345
275,5346
276,5347
277,5348
278,5349
279,5350
280,5351
281,5352
282,5353
283,5354
284,5355
285,5356
286,5357
